State,District,Date,Year,Month,Avg_rainfall,Agency_name
Assam,Nalbari,2018-12-31,2018,12,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-07-29,2018,07,25.49240971,"NRSC VIC MODEL"
Assam,Sivasagar,2018-08-04,2018,08,10.33312444,"NRSC VIC MODEL"
Assam,Sivasagar,2018-08-05,2018,08,0.259224043,"NRSC VIC MODEL"
Assam,Sivasagar,2018-08-11,2018,08,53.87967783,"NRSC VIC MODEL"
Assam,Sivasagar,2018-08-14,2018,08,19.14772374,"NRSC VIC MODEL"
Assam,Sivasagar,2018-08-18,2018,08,1.5191914,"NRSC VIC MODEL"
Assam,Sivasagar,2018-08-20,2018,08,24.60871608,"NRSC VIC MODEL"
Assam,Sivasagar,2018-08-29,2018,08,29.2795704,"NRSC VIC MODEL"
Assam,Sivasagar,2018-09-02,2018,09,4.116200778,"NRSC VIC MODEL"
Assam,Sivasagar,2018-09-03,2018,09,0.211218941,"NRSC VIC MODEL"
Assam,Sivasagar,2018-09-07,2018,09,6.332798654,"NRSC VIC MODEL"
Assam,Sivasagar,2018-09-11,2018,09,4.19622097,"NRSC VIC MODEL"
Assam,Sivasagar,2018-09-14,2018,09,1.047012659,"NRSC VIC MODEL"
Assam,Sivasagar,2018-09-17,2018,09,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-10-09,2018,10,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-10-16,2018,10,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-10-18,2018,10,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-10-23,2018,10,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-11-01,2018,11,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-11-18,2018,11,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-11-22,2018,11,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-11-21,2018,11,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-11-26,2018,11,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-11-29,2018,11,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-12-12,2018,12,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-12-13,2018,12,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-12-14,2018,12,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-12-18,2018,12,28.05977094,"NRSC VIC MODEL"
Assam,Sivasagar,2018-12-22,2018,12,0,"NRSC VIC MODEL"
Assam,Sivasagar,2018-12-25,2018,12,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-07-25,2018,07,3.678127863,"NRSC VIC MODEL"
Assam,Sonitpur,2018-07-26,2018,07,2.898271917,"NRSC VIC MODEL"
Assam,Sonitpur,2018-07-31,2018,07,7.565150712,"NRSC VIC MODEL"
Assam,Sonitpur,2018-08-03,2018,08,5.11831918,"NRSC VIC MODEL"
Assam,Sonitpur,2018-08-06,2018,08,0.569616863,"NRSC VIC MODEL"
Assam,Sonitpur,2018-08-10,2018,08,0.847348787,"NRSC VIC MODEL"
Assam,Sonitpur,2018-08-13,2018,08,7.069091125,"NRSC VIC MODEL"
Assam,Sonitpur,2018-08-16,2018,08,5.972300443,"NRSC VIC MODEL"
Assam,Sonitpur,2018-08-21,2018,08,7.447726288,"NRSC VIC MODEL"
Assam,Sonitpur,2018-08-29,2018,08,12.27480057,"NRSC VIC MODEL"
Assam,Sonitpur,2018-09-02,2018,09,4.59641774,"NRSC VIC MODEL"
Assam,Sonitpur,2018-09-09,2018,09,5.146009166,"NRSC VIC MODEL"
Assam,Sonitpur,2018-09-11,2018,09,4.245648576,"NRSC VIC MODEL"
Assam,Sonitpur,2018-09-12,2018,09,17.49243888,"NRSC VIC MODEL"
Assam,Sonitpur,2018-09-25,2018,09,58.79610594,"NRSC VIC MODEL"
Assam,Sonitpur,2018-10-04,2018,10,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-10-08,2018,10,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-10-25,2018,10,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-10-26,2018,10,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-10-30,2018,10,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-10-31,2018,10,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-11-02,2018,11,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-11-11,2018,11,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-11-20,2018,11,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-11-21,2018,11,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-12-01,2018,12,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-12-11,2018,12,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-12-13,2018,12,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-12-21,2018,12,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-12-20,2018,12,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-12-30,2018,12,0,"NRSC VIC MODEL"
Assam,Sonitpur,2018-12-28,2018,12,0,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-07-24,2018,07,47.31064973,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-07-27,2018,07,5.740282295,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-07-29,2018,07,16.0262006,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-07-30,2018,07,21.17960062,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-08-03,2018,08,0.210482976,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-08-05,2018,08,10.6804774,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-08-07,2018,08,8.868032505,"NRSC VIC MODEL"
Assam,"South Salmara Mancachar",2018-08-16,2018,08,39.12094849,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-11-27,2018,11,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-11-30,2018,11,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-03,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-05,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-06,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-07,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-08,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-19,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-15,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-25,2018,12,0,"NRSC VIC MODEL"
Assam,"Dima Hasao",2018-12-23,2018,12,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-07-27,2018,07,7.041345098,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-05,2018,08,4.481943449,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-12,2018,08,26.62327574,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-13,2018,08,4.783773583,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-14,2018,08,3.236814686,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-17,2018,08,2.936515951,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-19,2018,08,16.27874569,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-20,2018,08,6.500009892,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-25,2018,08,14.24244693,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-28,2018,08,3.534960793,"NRSC VIC MODEL"
Assam,Goalpara,2018-08-30,2018,08,1.682675548,"NRSC VIC MODEL"
Assam,Goalpara,2018-09-03,2018,09,4.047546145,"NRSC VIC MODEL"
Assam,Goalpara,2018-09-19,2018,09,0.025643715,"NRSC VIC MODEL"
Assam,Goalpara,2018-09-26,2018,09,0.197377144,"NRSC VIC MODEL"
Assam,Goalpara,2018-09-24,2018,09,29.13513178,"NRSC VIC MODEL"
Assam,Goalpara,2018-09-28,2018,09,2.073601338,"NRSC VIC MODEL"
Assam,Goalpara,2018-10-01,2018,10,0.06651474,"NRSC VIC MODEL"
Assam,Goalpara,2018-10-08,2018,10,1.238685328,"NRSC VIC MODEL"
Assam,Goalpara,2018-10-24,2018,10,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-11-04,2018,11,1.536903672,"NRSC VIC MODEL"
Assam,Goalpara,2018-11-25,2018,11,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-11-20,2018,11,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-11-30,2018,11,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-12-02,2018,12,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-12-06,2018,12,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-12-09,2018,12,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-12-21,2018,12,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-12-23,2018,12,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-12-26,2018,12,0,"NRSC VIC MODEL"
Assam,Goalpara,2018-12-27,2018,12,0.022537575,"NRSC VIC MODEL"
Assam,Golaghat,2018-07-26,2018,07,2.438799158,"NRSC VIC MODEL"
Assam,Golaghat,2018-08-11,2018,08,20.50660271,"NRSC VIC MODEL"
Assam,Golaghat,2018-08-17,2018,08,26.09500757,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-04,2018,09,7.700837563,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-05,2018,09,2.102250527,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-07,2018,09,0.223949185,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-14,2018,09,1.839224931,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-18,2018,09,5.76426129,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-22,2018,09,3.281663673,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-26,2018,09,15.15987778,"NRSC VIC MODEL"
Assam,Golaghat,2018-09-28,2018,09,3.167705485,"NRSC VIC MODEL"
Assam,Golaghat,2018-10-05,2018,10,1.535361592,"NRSC VIC MODEL"
Assam,Golaghat,2018-10-09,2018,10,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-10-10,2018,10,3.538902035,"NRSC VIC MODEL"
Assam,Golaghat,2018-10-11,2018,10,7.290312984,"NRSC VIC MODEL"
Assam,Golaghat,2018-10-29,2018,10,0.005200123,"NRSC VIC MODEL"
Assam,Golaghat,2018-11-12,2018,11,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-11-13,2018,11,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-11-24,2018,11,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-11-25,2018,11,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-11-21,2018,11,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-01,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-04,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-06,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-10,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-16,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-17,2018,12,7.224430775,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-18,2018,12,33.79961941,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-25,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-23,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-29,2018,12,0.005535615,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-30,2018,12,0,"NRSC VIC MODEL"
Assam,Golaghat,2018-12-28,2018,12,0.163132903,"NRSC VIC MODEL"
Assam,Hailakandi,2018-08-06,2018,08,2.625875843,"NRSC VIC MODEL"
Assam,Hailakandi,2018-08-15,2018,08,29.23635008,"NRSC VIC MODEL"
Assam,Hailakandi,2018-08-16,2018,08,12.68265073,"NRSC VIC MODEL"
Assam,Hailakandi,2018-08-17,2018,08,1.655754208,"NRSC VIC MODEL"
Assam,Hailakandi,2018-08-27,2018,08,26.49445321,"NRSC VIC MODEL"
Assam,Hailakandi,2018-08-29,2018,08,1.674123325,"NRSC VIC MODEL"
Assam,Hailakandi,2018-09-06,2018,09,4.908080286,"NRSC VIC MODEL"
Assam,Hailakandi,2018-09-10,2018,09,28.76394707,"NRSC VIC MODEL"
Assam,Hailakandi,2018-09-15,2018,09,0.167285649,"NRSC VIC MODEL"
Assam,Hailakandi,2018-09-21,2018,09,14.4671999,"NRSC VIC MODEL"
Assam,Hailakandi,2018-09-20,2018,09,1.169521568,"NRSC VIC MODEL"
Assam,Hailakandi,2018-10-05,2018,10,0,"NRSC VIC MODEL"
Assam,Hailakandi,2018-10-14,2018,10,1.370547273,"NRSC VIC MODEL"
Assam,Hailakandi,2018-10-08,2018,10,0,"NRSC VIC MODEL"
Assam,Hailakandi,2018-11-01,2018,11,0,"NRSC VIC MODEL"
Assam,Hailakandi,2018-11-19,2018,11,0,"NRSC VIC MODEL"
Assam,Hailakandi,2018-11-17,2018,11,0.769623778,"NRSC VIC MODEL"
Assam,Hailakandi,2018-12-02,2018,12,0,"NRSC VIC MODEL"
Assam,Hailakandi,2018-12-13,2018,12,0,"NRSC VIC MODEL"
Assam,Hailakandi,2018-12-16,2018,12,2.171863056,"NRSC VIC MODEL"
Assam,Hailakandi,2018-12-17,2018,12,11.74751488,"NRSC VIC MODEL"
Assam,Hailakandi,2018-12-25,2018,12,0,"NRSC VIC MODEL"
Assam,Hailakandi,2018-12-27,2018,12,0,"NRSC VIC MODEL"
Assam,Hojai,2018-07-25,2018,07,10.95686619,"NRSC VIC MODEL"
Assam,Hojai,2018-07-29,2018,07,8.754802952,"NRSC VIC MODEL"
Assam,Hojai,2018-08-10,2018,08,0.452809995,"NRSC VIC MODEL"
Assam,Hojai,2018-08-08,2018,08,11.65800425,"NRSC VIC MODEL"
Assam,Hojai,2018-08-30,2018,08,0,"NRSC VIC MODEL"
Assam,Hojai,2018-09-01,2018,09,9.406492631,"NRSC VIC MODEL"
